model;NumberOfFeatures;NumberOfLeafFeatures;NumberOfTopFeatures;NumberOfConstraints;AverageConstraintSize;CtcDensity;FeaturesInConstraintsDensity;TreeDepth;AverageNumberOfChildren;NumberOfClauses;NumberOfLiterals;ClauseDensity
/CDL/dreamcast.xml;1266;960;31;867;3.0184544405997693;1.0;0.8372827804107424;7;4.133986928104576;3073;6445;2.4273301737756716
/CDL/e7t.xml;1280;977;32;883;3.0532276330690826;1.0;0.81796875;8;4.221122112211221;3103;6729;2.42421875
/CDL/ea2468.xml;1408;1069;35;956;3.149581589958159;1.0;0.8458806818181818;7;4.150442477876106;3470;7493;2.4644886363636362
/CDL/eb40.xml;1253;952;32;890;3.048314606741573;1.0;0.8411811652035116;7;4.159468438538206;3092;6715;2.4676775738228254
/CDL/eb40a.xml;1254;952;32;890;3.048314606741573;1.0;0.8413078149920256;7;4.1490066225165565;3093;6717;2.4665071770334928
/CDL/eb42.xml;1247;947;32;884;3.0452488687782804;1.0;0.8412189254210104;7;4.153333333333333;3067;6653;2.459502806736167
/CDL/eb55.xml;1283;972;34;914;3.0547045951859957;1.0;0.8448947778643804;7;4.122186495176849;3175;6885;2.474668745128605
/CDL/ebsa285.xml;1258;951;32;895;3.064804469273743;1.0;0.8402225755166932;7;4.094462540716612;3107;6755;2.4697933227344993
/CDL/ec555.xml;1280;982;30;863;3.003476245654693;1.0;0.815625;7;4.291946308724833;3065;6425;2.39453125
/CDL/edb7xxx.xml;1259;954;33;900;3.04;1.0;0.8411437648927721;7;4.1245901639344265;3098;6715;2.460683081810961
/CDL/edosk2674.xml;1207;913;31;841;2.984542211652794;1.0;0.8384424192212097;7;4.1020408163265305;2923;6128;2.4217067108533556
/CDL/excalibur_arm9.xml;1247;953;32;877;3.118586088939567;1.0;0.8404170008019246;7;4.238095238095238;3140;6981;2.5180433039294305
/CDL/fads.xml;1200;910;30;829;2.9794933655006033;1.0;0.8325;7;4.13448275862069;2890;6061;2.408333333333333
/CDL/flexanet.xml;1278;968;34;925;3.0302702702702704;1.0;0.8450704225352113;7;4.119354838709677;3160;6862;2.4726134585289516
/CDL/frv400.xml;1251;952;32;862;2.9617169373549883;1.0;0.8193445243804957;7;4.1806020066889635;2984;6253;2.3852917665867306
/CDL/gps4020.xml;1226;929;32;876;3.038812785388128;1.0;0.8393148450244698;7;4.124579124579125;3019;6558;2.4624796084828713
/CDL/grg.xml;1254;950;34;889;3.043869516310461;1.0;0.8349282296650717;7;4.121710526315789;3074;6667;2.4513556618819776
/CDL/h8300h_sim.xml;1195;902;31;828;2.9746376811594204;1.0;0.8359832635983263;7;4.075085324232082;2890;6056;2.418410041841004
/CDL/h8max.xml;1215;916;31;849;2.978798586572438;1.0;0.8395061728395061;7;4.0602006688963215;2950;6194;2.42798353909465
/CDL/h8s_sim.xml;1196;903;31;828;2.9770531400966185;1.0;0.8361204013377926;7;4.078498293515358;2893;6062;2.418896321070234
/CDL/hs7729pci.xml;1312;1003;32;886;3.0530474040632054;1.0;0.8239329268292683;7;4.242718446601942;3226;6929;2.4588414634146343
/CDL/innovator.xml;1270;971;32;886;3.069977426636569;1.0;0.8188976377952756;7;4.2441471571906355;3155;7003;2.484251968503937
/CDL/integrator_arm7.xml;1272;967;33;904;3.0530973451327434;1.0;0.839622641509434;7;4.167213114754098;3121;6773;2.4536163522012577
/CDL/integrator_arm9.xml;1281;974;33;907;3.091510474090408;1.0;0.8407494145199064;7;4.169381107491857;3216;7135;2.510538641686183
/CDL/ipaq.xml;1271;958;36;921;3.0271444082519;1.0;0.8457907159716759;7;4.057507987220447;3156;6843;2.4830841856805663
/CDL/iq80310.xml;1271;962;35;897;3.0501672240802677;1.0;0.8363493312352478;7;4.110032362459547;3116;6755;2.4516129032258065
/CDL/iq80321.xml;1269;959;34;898;3.046770601336303;1.0;0.8360914105594957;7;4.090322580645161;3112;6747;2.4523246650906225
/CDL/ixdp425.xml;1260;957;34;886;3.0575620767494356;1.0;0.8357142857142857;7;4.1551155115511555;3088;6694;2.450793650793651
/CDL/jmr3904.xml;1212;916;31;843;2.965599051008304;1.0;0.8341584158415841;7;4.091216216216216;2923;6125;2.4117161716171616
/CDL/jtst.xml;1254;952;32;891;3.0460157126823795;1.0;0.8421052631578947;7;4.1490066225165565;3094;6719;2.467304625199362
/CDL/linux.xml;1245;941;31;859;3.0349243306169966;1.0;0.8409638554216867;7;4.092105263157895;3030;6393;2.433734939759036
/CDL/lpcmt.xml;1262;958;32;882;3.0759637188208617;1.0;0.8399366085578447;7;4.1480263157894735;3102;6737;2.4580031695721076
/CDL/m5272c3.xml;1336;1022;31;877;3.1915621436716077;1.0;0.8473053892215568;9;4.251592356687898;3209;6720;2.4019461077844313
/CDL/mac7100evb.xml;1247;948;33;867;3.0876585928489044;1.0;0.8404170008019246;7;4.167224080267559;3068;6657;2.4603047313552526
/CDL/mace1.xml;1247;948;33;867;3.0876585928489044;1.0;0.8404170008019246;7;4.167224080267559;3068;6657;2.4603047313552526
/CDL/malta_mips32_4kc.xml;1245;945;33;865;3.0;1.0;0.8385542168674699;7;4.1466666666666665;3003;6300;2.4120481927710844
/CDL/malta_mips64_5kc.xml;1245;945;33;865;2.9965317919075143;1.0;0.8377510040160643;7;4.1466666666666665;3002;6298;2.4112449799196787
/CDL/mb93091.xml;1263;958;32;876;2.9531963470319633;1.0;0.8202692003167062;7;4.137704918032787;3020;6330;2.391132224861441
/CDL/mb93093.xml;1243;946;32;859;2.960419091967404;1.0;0.8205953338696702;7;4.181818181818182;2967;6219;2.3869670152855993
/CDL/mbx.xml;1308;1003;31;889;3.015748031496063;1.0;0.8249235474006116;7;4.285245901639344;3146;6579;2.40519877675841
/CDL/mcb2100.xml;1262;958;32;882;3.0759637188208617;1.0;0.8399366085578447;7;4.1480263157894735;3105;6743;2.4603803486529316
/CDL/moab.xml;1291;972;31;917;2.9792802617230096;1.0;0.836560805577072;7;4.043887147335423;3144;6604;2.4353214562354766
/CDL/mpc50.xml;1226;931;33;863;3.048667439165701;1.0;0.835236541598695;7;4.1525423728813555;3006;6529;2.4518760195758564
/CDL/nano.xml;1278;962;33;911;3.0450054884742044;1.0;0.8403755868544601;8;4.041139240506329;3151;6837;2.4655712050078247
/CDL/npwr.xml;1271;962;35;898;3.048997772828508;1.0;0.8371361132966169;7;4.110032362459547;3117;6757;2.4523996852871757
/CDL/ocelot.xml;1279;974;32;872;2.9644495412844036;1.0;0.8139171227521501;7;4.19016393442623;3034;6353;2.3721657544956996
/CDL/olpce2294.xml;1287;976;32;904;3.075221238938053;1.0;0.8438228438228438;7;4.135048231511254;3169;6876;2.462315462315462
/CDL/olpch2294.xml;1274;968;32;890;3.0831460674157305;1.0;0.8422291993720565;7;4.160130718954249;3136;6806;2.4615384615384617
/CDL/olpcl2294.xml;1286;975;32;902;3.07649667405765;1.0;0.843701399688958;7;4.131832797427653;3166;6869;2.4618973561430795
/CDL/p2106.xml;1262;958;32;882;3.0759637188208617;1.0;0.8399366085578447;7;4.1480263157894735;3102;6737;2.4580031695721076
/CDL/pati.xml;1261;963;30;866;3.027713625866051;1.0;0.8374306106264869;7;4.228187919463087;3058;6423;2.425059476605868
/CDL/pc_i82544.xml;1272;958;31;885;2.976271186440678;1.0;0.835691823899371;7;4.047770700636943;3075;6443;2.417452830188679
/CDL/pc_i82559.xml;1272;958;31;885;2.976271186440678;1.0;0.835691823899371;7;4.047770700636943;3075;6443;2.417452830188679
/CDL/pc_rltk8139.xml;1270;956;31;886;2.9808126410835216;1.0;0.8362204724409449;7;4.04140127388535;3074;6445;2.4204724409448817
/CDL/pc_usb_d12.xml;1294;975;32;910;2.9626373626373628;1.0;0.8384853168469861;7;4.053291536050157;3128;6559;2.417310664605873
/CDL/pc_vmWare.xml;1268;955;31;884;2.97737556561086;1.0;0.8383280757097792;7;4.047923322683706;3072;6437;2.4227129337539433
/CDL/phycore.xml;1287;985;32;892;3.045964125560538;1.0;0.8205128205128205;7;4.258278145695364;3128;6787;2.4304584304584305
/CDL/phycore229x.xml;1373;1055;33;932;3.1180257510729614;1.0;0.8266569555717407;7;4.314465408805032;3331;7205;2.4260742898761833
/CDL/picasso.xml;1261;951;33;899;3.0333704115684093;1.0;0.838223632038065;7;4.064516129032258;3098;6718;2.456780333068993
/CDL/pid.xml;1242;943;33;891;3.0303030303030303;1.0;0.8389694041867954;7;4.150501672240803;3061;6640;2.464573268921095
/CDL/prpmc1100.xml;1236;939;34;875;3.048;1.0;0.8357605177993528;7;4.158249158249158;3033;6585;2.453883495145631
/CDL/psim.xml;1194;905;30;826;2.9721549636803872;1.0;0.8299832495812395;7;4.1280276816609;2876;6032;2.408710217755444
/CDL/rattler.xml;1324;1018;31;894;3.027964205816555;1.0;0.8209969788519638;7;4.323529411764706;3175;6640;2.3980362537764353
/CDL/ref4955.xml;1231;931;31;862;2.9593967517401394;1.0;0.8367181153533713;7;4.1;2979;6252;2.4199837530463038
/CDL/refidt334.xml;1276;969;32;870;2.986206896551724;1.0;0.817398119122257;7;4.153094462540716;3038;6365;2.3808777429467085
/CDL/sa1100mm.xml;1235;939;32;878;3.050113895216401;1.0;0.8404858299595142;7;4.168918918918919;3044;6608;2.4647773279352228
/CDL/sam7ex256.xml;1345;1029;35;935;3.0866310160427806;1.0;0.8379182156133829;7;4.253164556962025;3301;7141;2.454275092936803
/CDL/se7751.xml;1309;999;32;883;3.0169875424688564;1.0;0.8212375859434683;7;4.219354838709678;3145;6601;2.4025974025974026
/CDL/se77x9.xml;1333;1019;32;911;3.0186608122941823;1.0;0.8244561140285072;7;4.24203821656051;3270;7001;2.45311327831958
/CDL/sh4_202_md.xml;1272;963;32;885;3.013559322033898;1.0;0.845125786163522;7;4.11326860841424;3096;6495;2.4339622641509435
/CDL/sh7708.xml;1267;961;32;876;3.045662100456621;1.0;0.8429360694554064;7;4.137254901960785;3159;6791;2.4932912391475925
/CDL/skmb91302.xml;1230;939;31;840;2.975;1.0;0.816260162601626;7;4.223367697594502;2933;6146;2.3845528455284555
/CDL/sleb.xml;1201;906;30;827;2.984280532043531;1.0;0.8368026644462948;7;4.067796610169491;2900;6078;2.4146544546211492
/CDL/smdk2410.xml;1279;979;32;884;3.090497737556561;1.0;0.8201720093823299;7;4.26;3181;7051;2.4870992963252543
/CDL/snds.xml;1231;936;33;872;3.0458715596330275;1.0;0.8367181153533713;8;4.169491525423729;3030;6573;2.4614134849715676
/CDL/sparc_erc32.xml;1181;893;30;816;2.982843137254902;1.0;0.8357324301439458;7;4.097222222222222;2856;5990;2.418289585097375
/CDL/sparc_leon.xml;1181;893;30;816;2.982843137254902;1.0;0.8357324301439458;7;4.097222222222222;2856;5990;2.418289585097375
/CDL/sparclite_sim.xml;1181;893;30;816;2.982843137254902;1.0;0.8357324301439458;7;4.097222222222222;2856;5990;2.418289585097375
/CDL/stb.xml;1265;966;31;860;2.9976744186046513;1.0;0.8213438735177866;7;4.2274247491638794;3029;6352;2.3944664031620553
/CDL/stdeval1.xml;1203;908;30;844;2.9680094786729856;1.0;0.8379052369077307;7;4.074576271186441;2922;6137;2.428927680798005
/CDL/stm3210e_eval.xml;1283;971;32;873;3.042382588774341;1.0;0.8472330475448169;7;4.108974358974359;3130;6562;2.4395946999220577
/CDL/ts1000.xml;1310;1004;31;886;3.023702031602709;1.0;0.8244274809160306;7;4.277777777777778;3148;6584;2.403053435114504
/CDL/ts6.xml;1253;953;31;865;3.032369942196532;1.0;0.8403830806065443;7;4.173333333333333;3039;6377;2.4253790901835592
/CDL/tx39_sim.xml;1192;902;31;822;2.9720194647201947;1.0;0.8330536912751678;7;4.106896551724138;2865;6006;2.403523489932886
/CDL/uE250.xml;1262;952;33;900;3.0322222222222224;1.0;0.838351822503962;7;4.067741935483871;3100;6722;2.456418383518225
/CDL/vads.xml;1253;953;31;865;3.032369942196532;1.0;0.8403830806065443;7;4.173333333333333;3039;6377;2.4253790901835592
/CDL/viper.xml;1314;1007;31;894;3.0156599552572705;1.0;0.8264840182648402;7;4.276872964169381;3160;6607;2.4048706240487063
/CDL/vrc4373.xml;1260;959;32;860;2.9604651162790696;1.0;0.8150793650793651;7;4.1827242524916945;2999;6278;2.38015873015873
/CDL/vrc4375.xml;1271;965;32;870;2.962068965517241;1.0;0.8166797797010228;7;4.150326797385621;3027;6338;2.381589299763965
/CDL/XSEngine.xml;1273;974;33;886;3.038374717832957;1.0;0.8177533385703064;7;4.254180602006689;3083;6689;2.4218381775333855
/featureide_examples/berkeleydb.xml;76;53;1;20;3.3;1.0;0.42105263157894735;8;3.260869565217391;141;298;1.855263157894737
/financial_services/financialServices_2018-05-09.xml;771;587;7;1080;4.305555555555555;1.0;0.8988326848249028;7;4.184782608695652;7241;17377;9.391699092088198
/KConfig/axTLS.xml;96;78;54;14;6.571428571428571;1.0;0.3125;4;5.277777777777778;203;479;2.1145833333333335
/KConfig/busybox-1.18.0.xml;854;683;444;123;6.487804878048781;1.0;0.26346604215456676;5;4.988304093567251;1322;3317;1.5480093676814988
/KConfig/embtoolkit.xml;1179;966;296;323;80.6687306501548;1.0;0.5072094995759118;5;5.530516431924883;5967;25803;5.061068702290076
/Linux/linux-2.6.33.3.xml;6467;5523;1004;3545;8.348095909732017;1.0;0.6175970310808722;8;6.84957627118644;132032;1273125;20.41626720272151
/KConfig/uClibc.xml;313;267;142;56;9.535714285714286;1.0;0.43450479233226835;5;6.782608695652174;1285;3076;4.105431309904153
/KConfig/uClinux-base.xml;380;308;80;3455;2.0651230101302462;1.0;0.7868421052631579;3;5.263888888888889;7366;15184;19.38421052631579
/KConfig/uClinux-distribution.xml;1580;1368;573;197;3.7411167512690353;1.0;0.1860759493670886;6;7.44811320754717;2131;4602;1.34873417721519
